familia,sub-familia,CÓDIGO,PRODUCTO,IMPORTADO
Hornos,horno-industrial,CCHC-0049,Horno de 2 Camaras Normalizado,
Hornos,horno-industrial,CCHC-0050,Horno de 3 Camaras Normalizado,
Hornos,horno-convector,HEB-4F,Horno Convector eléctrico 4B,IMPORTADO
Hornos,horno-convector,HEB-8F,Horno Convector eléctrico de 835MM,IMPORTADO
Hornos,horno-convector,HCO-04E,Horno Convector Electrico 4,IMPORTADO
Hornos,horno-convector,HCO-06E,Horno Convector Electrico 6,IMPORTADO
Hornos,horno-convector,HCO-10E,Horno Convector Electrico 10,IMPORTADO
Hornos,accesorio,,Atril para Horno Convector,
Hornos,accesorio,,Ablandador de agua,
Hornos,horno-pizza,PIHP-01130,Horno Electrico Pizzero,IMPORTADO
Hornos,horno-pizza,HEP-1ST,Horno de Pizza Eléctrico Simple,IMPORTADO
Hornos,horno-asador,PR-623ST,Horno Asador de Pollo 4 Espadas,IMPORTADO
Hornos,horno-asador,HGJ-306,Horno de Pollos Vertical,IMPORTADO
Hornos,horno-asador,HGJ-368,Asador de Pollos a gas,IMPORTADO
Hornos,gratinador,PIHS-01130,Gratinador Grill eléctrico,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Kangkawe,importado,,,IMPORTADO
Lavaderos,lavamanos,ZLLRC-0420,Lavamanos con Faldon,IMPORTADO
Lavaderos,lavamanos,ZLLRA-0421,Lavamano con Atril y Accionamiento de Rodilla,IMPORTADO
Lavaderos,lavamanos,ZLLRF-0422,Lavamano Inox Rodilla,IMPORTADO
Lavaderos,lavamanos,ZLLRF-0530,Lavamanos un Puesto,IMPORTADO
Lavaderos,lavamanos,ZLLRP-0700,Lavamanos con pedestal,IMPORTADO
